CMDLINE /home/yahya/.virtualenvs/cv3/bin/python2 koli_for_image.py
MEM 1.363281 1511581053.7520
MEM 40.421875 1511581053.8524
MEM 116.585938 1511581053.9526
MEM 133.363281 1511581054.0530
MEM 140.582031 1511581054.1533
MEM 140.582031 1511581054.2537
MEM 140.582031 1511581054.3540
MEM 140.582031 1511581054.4543
MEM 140.582031 1511581054.5547
MEM 140.582031 1511581054.6550
MEM 140.582031 1511581054.7553
MEM 140.582031 1511581054.8557
MEM 140.582031 1511581054.9561
MEM 140.582031 1511581055.0564
MEM 141.097656 1511581055.1567
MEM 141.097656 1511581055.2571
MEM 141.097656 1511581055.3574
MEM 141.097656 1511581055.4577
MEM 141.097656 1511581055.5580
MEM 141.871094 1511581055.6584
MEM 141.871094 1511581055.7587
MEM 142.078125 1511581055.8591
MEM 142.078125 1511581055.9594
MEM 142.078125 1511581056.0597
MEM 142.078125 1511581056.1601
MEM 142.078125 1511581056.2604
MEM 142.078125 1511581056.3609
MEM 142.078125 1511581056.4612
MEM 142.593750 1511581056.5615
MEM 142.593750 1511581056.6618
MEM 142.593750 1511581056.7630
MEM 142.593750 1511581056.8633
MEM 142.593750 1511581056.9636
MEM 143.761719 1511581057.0640
MEM 143.761719 1511581057.1643
MEM 143.761719 1511581057.2647
MEM 143.761719 1511581057.3650
MEM 143.761719 1511581057.4653
MEM 143.761719 1511581057.5657
MEM 143.761719 1511581057.6660
MEM 143.761719 1511581057.7664
MEM 143.761719 1511581057.8668
MEM 143.761719 1511581057.9671
MEM 143.761719 1511581058.0674
MEM 143.761719 1511581058.1678
MEM 143.761719 1511581058.2681
MEM 143.761719 1511581058.3684
MEM 143.761719 1511581058.4687
MEM 143.761719 1511581058.5691
MEM 143.761719 1511581058.6694
MEM 143.761719 1511581058.7698
MEM 143.761719 1511581058.8701
MEM 143.761719 1511581058.9705
MEM 143.761719 1511581059.0708
MEM 143.761719 1511581059.1712
MEM 143.761719 1511581059.2716
MEM 143.761719 1511581059.3718
MEM 143.761719 1511581059.4722
MEM 143.761719 1511581059.5725
MEM 143.761719 1511581059.6729
MEM 143.761719 1511581059.7732
MEM 143.761719 1511581059.8736
MEM 143.761719 1511581059.9739
MEM 143.761719 1511581060.0743
MEM 143.761719 1511581060.1746
MEM 143.761719 1511581060.2749
MEM 143.761719 1511581060.3753
MEM 143.761719 1511581060.4757
MEM 143.761719 1511581060.5761
MEM 143.761719 1511581060.6765
MEM 143.761719 1511581060.7768
MEM 143.761719 1511581060.8772
MEM 143.761719 1511581060.9775
MEM 143.761719 1511581061.0779
MEM 143.761719 1511581061.1782
MEM 143.761719 1511581061.2786
MEM 143.761719 1511581061.3789
MEM 143.761719 1511581061.4792
MEM 143.761719 1511581061.5795
MEM 143.761719 1511581061.6798
MEM 143.761719 1511581061.7801
MEM 143.761719 1511581061.8807
MEM 143.761719 1511581061.9810
MEM 143.761719 1511581062.0813
MEM 143.761719 1511581062.1817
MEM 143.761719 1511581062.2820
MEM 143.761719 1511581062.3824
MEM 143.761719 1511581062.4828
MEM 143.761719 1511581062.5832
MEM 143.761719 1511581062.6835
MEM 143.761719 1511581062.7838
MEM 143.761719 1511581062.8841
MEM 143.761719 1511581062.9844
MEM 143.761719 1511581063.0847
MEM 143.761719 1511581063.1851
MEM 143.761719 1511581063.2854
MEM 143.761719 1511581063.3859
MEM 143.761719 1511581063.4862
MEM 143.761719 1511581063.5865
MEM 143.761719 1511581063.6868
MEM 143.761719 1511581063.7872
MEM 143.761719 1511581063.8878
MEM 143.761719 1511581063.9882
MEM 143.761719 1511581064.0885
MEM 143.761719 1511581064.1888
MEM 143.761719 1511581064.2891
MEM 143.761719 1511581064.3895
MEM 143.761719 1511581064.4898
MEM 143.761719 1511581064.5902
MEM 143.761719 1511581064.6905
MEM 143.761719 1511581064.7909
MEM 143.761719 1511581064.8913
MEM 143.761719 1511581064.9917
MEM 143.761719 1511581065.0920
MEM 143.761719 1511581065.1923
MEM 143.761719 1511581065.2926
MEM 143.761719 1511581065.3929
MEM 143.761719 1511581065.4933
MEM 143.761719 1511581065.5937
MEM 143.761719 1511581065.6940
MEM 143.761719 1511581065.7943
MEM 143.761719 1511581065.8947
MEM 143.761719 1511581065.9951
MEM 143.761719 1511581066.0955
MEM 143.761719 1511581066.1958
MEM 143.761719 1511581066.2963
MEM 143.761719 1511581066.3966
MEM 143.761719 1511581066.4970
MEM 143.761719 1511581066.5973
MEM 143.761719 1511581066.6977
MEM 143.761719 1511581066.7980
MEM 143.761719 1511581066.8983
MEM 143.761719 1511581066.9987
MEM 143.761719 1511581067.0991
MEM 143.761719 1511581067.1994
MEM 143.761719 1511581067.2997
MEM 143.761719 1511581067.4002
