CMDLINE /home/yahya/.virtualenvs/cv3/bin/python2 koli_for_image.py
MEM 1.324219 1510592285.2097
MEM 26.289062 1510592285.3100
MEM 58.789062 1510592285.4103
MEM 208.777344 1510592285.5107
MEM 151.683594 1510592285.6110
MEM 256.722656 1510592285.7115
MEM 232.781250 1510592285.8118
MEM 254.621094 1510592285.9122
MEM 263.125000 1510592286.0125
MEM 258.496094 1510592286.1130
MEM 258.496094 1510592286.2134
MEM 308.250000 1510592286.3138
MEM 258.492188 1510592286.4142
MEM 258.492188 1510592286.5148
MEM 258.492188 1510592286.6151
MEM 262.355469 1510592286.7155
MEM 258.492188 1510592286.8158
MEM 258.496094 1510592286.9162
MEM 308.507812 1510592287.0166
MEM 258.496094 1510592287.1171
MEM 258.476562 1510592287.2174
MEM 258.476562 1510592287.3178
MEM 258.476562 1510592287.4182
MEM 258.492188 1510592287.5186
MEM 308.246094 1510592287.6191
MEM 258.492188 1510592287.7195
MEM 258.480469 1510592287.8200
MEM 258.480469 1510592287.9204
MEM 263.890625 1510592288.0207
MEM 258.464844 1510592288.1212
MEM 258.464844 1510592288.2215
MEM 308.476562 1510592288.3220
MEM 258.417969 1510592288.4224
MEM 258.417969 1510592288.5228
MEM 258.515625 1510592288.6232
MEM 269.714844 1510592288.7237
MEM 258.640625 1510592288.8241
MEM 258.640625 1510592288.9244
MEM 291.636719 1510592289.0247
MEM 258.640625 1510592289.1253
MEM 262.546875 1510592289.2257
MEM 262.546875 1510592289.3260
MEM 263.832031 1510592289.4264
MEM 262.539062 1510592289.5267
MEM 262.539062 1510592289.6272
MEM 308.941406 1510592289.7276
MEM 262.539062 1510592289.8280
MEM 262.539062 1510592289.9283
MEM 262.539062 1510592290.0287
MEM 274.136719 1510592290.1292
MEM 262.539062 1510592290.2296
MEM 262.539062 1510592290.3300
MEM 271.101562 1510592290.4304
MEM 262.539062 1510592290.5308
MEM 262.539062 1510592290.6312
MEM 262.539062 1510592290.7318
MEM 288.832031 1510592290.8323
MEM 262.539062 1510592290.9327
MEM 262.539062 1510592291.0331
MEM 308.941406 1510592291.1335
MEM 262.539062 1510592291.2339
MEM 262.539062 1510592291.3342
MEM 262.539062 1510592291.4345
MEM 288.316406 1510592291.5351
MEM 262.539062 1510592291.6355
MEM 262.539062 1510592291.7358
MEM 262.539062 1510592291.8362
MEM 265.113281 1510592291.9365
MEM 262.539062 1510592292.0369
MEM 262.539062 1510592292.1373
MEM 308.683594 1510592292.2377
MEM 262.539062 1510592292.3381
MEM 262.539062 1510592292.4384
MEM 262.539062 1510592292.5388
MEM 262.539062 1510592292.6392
MEM 262.539062 1510592292.7397
MEM 262.539062 1510592292.8401
MEM 262.539062 1510592292.9406
MEM 262.539062 1510592293.0409
MEM 262.539062 1510592293.1413
MEM 309.199219 1510592293.2418
MEM 262.539062 1510592293.3421
MEM 262.539062 1510592293.4425
MEM 262.539062 1510592293.5428
MEM 265.113281 1510592293.6432
MEM 262.539062 1510592293.7435
MEM 262.539062 1510592293.8439
MEM 308.941406 1510592293.9443
MEM 262.539062 1510592294.0448
MEM 262.539062 1510592294.1451
MEM 262.539062 1510592294.2455
MEM 298.628906 1510592294.3459
MEM 262.539062 1510592294.4462
MEM 262.539062 1510592294.5467
MEM 309.457031 1510592294.6472
MEM 262.539062 1510592294.7477
MEM 262.539062 1510592294.8481
MEM 262.539062 1510592294.9484
MEM 309.199219 1510592295.0489
MEM 262.539062 1510592295.1494
MEM 262.539062 1510592295.2498
MEM 262.539062 1510592295.3501
MEM 303.011719 1510592295.4505
MEM 262.539062 1510592295.5509
MEM 262.539062 1510592295.6512
MEM 262.539062 1510592295.7515
MEM 262.539062 1510592295.8519
MEM 262.539062 1510592295.9523
MEM 262.539062 1510592296.0526
MEM 308.683594 1510592296.1531
MEM 262.539062 1510592296.2535
MEM 262.539062 1510592296.3538
MEM 262.539062 1510592296.4542
MEM 282.386719 1510592296.5545
MEM 262.539062 1510592296.6549
MEM 262.539062 1510592296.7552
MEM 262.539062 1510592296.8555
MEM 262.539062 1510592296.9559
MEM 262.539062 1510592297.0563
MEM 262.539062 1510592297.1566
MEM 284.964844 1510592297.2569
MEM 262.539062 1510592297.3573
MEM 262.539062 1510592297.4579
MEM 262.539062 1510592297.5582
MEM 262.539062 1510592297.6586
MEM 262.539062 1510592297.7590
MEM 262.539062 1510592297.8594
MEM 265.113281 1510592297.9597
MEM 262.539062 1510592298.0601
MEM 262.539062 1510592298.1604
MEM 308.941406 1510592298.2608
MEM 262.539062 1510592298.3613
MEM 262.539062 1510592298.4616
MEM 262.539062 1510592298.5620
