CMDLINE /home/yahya/.virtualenvs/cv3/bin/python2 koli_for_image.py
MEM 2014.363281 1511579022.7804
MEM 1097.414062 1511579022.8808
MEM 1097.414062 1511579022.9811
MEM 1097.414062 1511579023.0815
MEM 1097.414062 1511579023.1818
MEM 1099.414062 1511579023.2822
MEM 1489.417969 1511579023.3827
MEM 1489.417969 1511579023.4832
MEM 1609.417969 1511579023.5835
MEM 1881.234375 1511579023.6840
MEM 1881.234375 1511579023.7846
MEM 2057.933594 1511579023.8849
MEM 2323.800781 1511579023.9854
MEM 2189.804688 1511579024.0858
MEM 1094.285156 1511579024.1862
MEM 1094.285156 1511579024.2865
MEM 1094.285156 1511579024.3868
MEM 1094.285156 1511579024.4881
MEM 1310.289062 1511579024.5885
MEM 1486.289062 1511579024.6889
MEM 1486.289062 1511579024.7893
MEM 1728.292969 1511579024.8897
MEM 1878.292969 1511579024.9901
MEM 1942.238281 1511579025.0907
MEM 2072.308594 1511579025.1910
MEM 2334.054688 1511579025.2915
MEM 2053.800781 1511579025.3919
MEM 1133.410156 1511579025.4923
MEM 1133.410156 1511579025.5968
MEM 1133.410156 1511579025.6981
MEM 1133.410156 1511579025.7985
MEM 1157.410156 1511579025.8989
MEM 1525.414062 1511579025.9994
MEM 1525.414062 1511579026.0998
MEM 1667.421875 1511579026.2002
MEM 1917.230469 1511579026.3007
MEM 1917.230469 1511579026.4013
MEM 2081.429688 1511579026.5017
MEM 2327.402344 1511579026.6022
MEM 2233.054688 1511579026.7026
MEM 1133.535156 1511579026.8030
MEM 1133.535156 1511579026.9085
MEM 1133.535156 1511579027.0089
MEM 1133.535156 1511579027.1093
MEM 1185.535156 1511579027.2097
MEM 1525.539062 1511579027.3102
MEM 1525.539062 1511579027.4107
MEM 1629.539062 1511579027.5110
MEM 1917.542969 1511579027.6115
MEM 1917.542969 1511579027.7120
MEM 1946.625000 1511579027.8123
MEM 2320.699219 1511579027.9129
MEM 2072.421875 1511579028.0133
MEM 1077.535156 1511579028.1136
MEM 1077.535156 1511579028.2140
MEM 1077.535156 1511579028.3144
MEM 1077.535156 1511579028.4154
MEM 1205.535156 1511579028.5158
MEM 1469.539062 1511579028.6163
MEM 1469.539062 1511579028.7169
MEM 1705.546875 1511579028.8173
MEM 1861.355469 1511579028.9179
MEM 1925.296875 1511579029.0184
MEM 2060.433594 1511579029.1187
MEM 2326.386719 1511579029.2193
MEM 2087.054688 1511579029.3198
MEM 1144.660156 1511579029.4202
MEM 1144.660156 1511579029.5205
MEM 1144.660156 1511579029.6209
MEM 1144.660156 1511579029.7213
MEM 1144.660156 1511579029.8217
MEM 1536.664062 1511579029.9224
MEM 1536.664062 1511579030.0228
MEM 1622.664062 1511579030.1231
MEM 1928.667969 1511579030.2236
MEM 1928.667969 1511579030.3241
MEM 2033.679688 1511579030.4245
MEM 2329.570312 1511579030.5250
MEM 2181.300781 1511579030.6254
MEM 1129.160156 1511579030.7258
MEM 1129.160156 1511579030.8261
MEM 1129.160156 1511579030.9278
MEM 1129.160156 1511579031.0288
MEM 1223.160156 1511579031.1292
MEM 1521.164062 1511579031.2298
MEM 1521.164062 1511579031.3302
MEM 1643.164062 1511579031.4306
MEM 1912.980469 1511579031.5311
MEM 1976.921875 1511579031.6317
MEM 1981.179688 1511579031.7320
MEM 2368.996094 1511579031.8325
MEM 1977.171875 1511579031.9332
MEM 1144.660156 1511579032.0335
MEM 1144.660156 1511579032.1339
MEM 1144.660156 1511579032.2342
MEM 1144.660156 1511579032.3346
MEM 1182.660156 1511579032.4350
MEM 1536.664062 1511579032.5355
MEM 1536.664062 1511579032.6360
MEM 1688.667969 1511579032.7364
